Region,Total cases,Recovered,Deaths,Active,Intensive care,Hospital treatment,Home isolated,Total tests
Berat,5792,5530,88,174,0,8,166,11869
Dibër,2416,2047,47,322,1,4,317,10240
Durrës,9715,8130,199,1386,3,51,1332,26784
Elbasan,8010,7360,223,427,1,28,398,17316
Fier,10662,7853,217,2592,4,34,2554,17852
Gjirokastër,4342,3041,51,1250,0,15,1235,11985
Korçe,5698,4824,100,774,0,8,766,14769
Kukës,2645,2257,33,355,0,0,355,12264
Lezhë,5766,5131,86,549,1,13,535,14976
Shkodër,6567,5236,114,1217,1,21,1195,19099
Tiranë,53108,29833,918,22357,5,115,22237,367646
Vlorë,8495,7107,116,1272,2,28,1242,16045
