Region,ConfirmedCases,Population,Quarantined,Isolated
Bucureşti,144559,2112483,729,7918
Timiş,45425,749923,330,1909
Cluj,44731,728892,251,4462
Iaşi,36337,939359,516,2124
Braşov,36077,633686,223,4741
Ilfov,35556,423315,742,2224
Constanţa,35536,767514,980,3488
Prahova,28756,799012,380,3806
Bihor,23334,617827,570,2565
Argeş,22515,639930,512,5667
Galaţi,22224,627331,371,1838
Suceava,22174,753707,523,4190
Bacău,21933,743750,121,4470
Dolj,21862,693427,734,1893
Sibiu,21789,466472,408,2609
Dâmboviţa,19410,523730,200,1334
Mureş,19197,593959,345,4211
Arad,19095,471826,246,1070
Maramureş,18667,523298,892,3256
Hunedoara,18043,461832,258,2955
Alba,17134,377575,330,1297
Neamţ,15475,571755,418,3190
Vaslui,13950,490520,316,3053
Vâlcea,13280,398969,453,1550
Olt,12249,441079,315,1632
Botoşani,11902,452674,309,1363
Satu Mare,11112,388783,403,3312
Teleorman,10859,378074,127,2680
Brăila,10712,348791,301,2171
Buzău,10210,470674,336,3243
Bistriţa Năsăud,9567,328685,362,1966
Sălaj,9072,245813,319,1410
Caraş Severin,8966,321931,285,1258
Vrancea,8919,387553,242,2998
Ialomiţa,8887,289659,281,2569
Giurgiu,8845,273904,150,1842
Călăraşi,8247,312522,323,2002
Gorj,8067,361467,397,2436
Tulcea,6873,239857,260,1862
Mehedinţi,6704,282249,406,1985
Harghita,6671,332366,176,1672
Covasna,6428,227389,18,357
Fără județ,5403,,,
